,name,id,type,lat,lon,nodes,geometry,area,source
0,syrian refugee camp 2,8753555762,node,33.634803,35.7830598,[],,,OSM
1,,9588644441,node,33.8607274,36.0545272,[],,,OSM
2,Fayda 4 (ACF),246761930,way,33.8186816,35.8992863,"[2537611875, 2537611876, 2537611877, 2537611878, 8521647362, 8521647363, 2537611875]","POLYGON ((35.8988122 33.819058, 35.8993196 33.8180945, 35.8997605 33.8185361, 35.8993679 33.8192687, 35.8992112 33.8192652, 35.8990744 33.8191984, 35.8988122 33.819058))",0.008736626838955031,OSM
3,Fayda 3,246761932,way,33.8217157,35.9032915,"[2537611886, 2537611887, 2537611888, 2537611898, 9641286603, 9641286602, 9641286601, 9641286604, 2537611899, 2537611900, 9641286422, 2537611901, 2537611902, 2537611903, 2537611904, 2537611886]","POLYGON ((35.9020435 33.8212256, 35.9018491 33.8211775, 35.9020971 33.8207301, 35.9046831 33.822424, 35.904734 33.8224759, 35.9046307 33.8225459, 35.9045798 33.822494, 35.9042888 33.8226911, 35.9043044 33.8227013, 35.9036998 33.8226292, 35.9036194 33.8224506, 35.903499 33.8223078, 35.9026173 33.8212709, 35.9024028 33.8211883, 35.9021729 33.8212446, 35.9020435 33.8212256))",0.019049107952641524,OSM
4,,246769188,way,33.8228678,35.9062557,"[2537684298, 2537684299, 9588239860, 9588239861, 9588239862, 8476816747, 9588239863, 9588239859, 9588239858, 2537684300, 2537684302, 2537684303, 2537684305, 2537684298]","POLYGON ((35.9049879 33.8224207, 35.9052567 33.822163, 35.9053212 33.8222044, 35.9058094 33.8218434, 35.9060454 33.8219637, 35.905648 33.822385, 35.9065068 33.8230188, 35.9073047 33.8236171, 35.9073557 33.8235636, 35.9075235 33.8236741, 35.9073117 33.8238922, 35.906389 33.8233859, 35.9058162 33.8230556, 35.9049879 33.8224207))",0.017655502802537675,OSM
5,Saadnayel,246820581,way,33.8150009,35.9048821,"[2538124218, 2538124223, 2538124226, 9588239847, 2538124229, 2538124232, 2538124234, 4966474711, 2538124218]","POLYGON ((35.9053378 33.8156216, 35.9050151 33.8152133, 35.9047079 33.8151355, 35.904243 33.8146824, 35.9044017 33.8143802, 35.9055212 33.8149117, 35.9055212 33.8152956, 35.9054433 33.815434, 35.9053378 33.8156216))",0.010452482054254954,OSM
6,Fayda 2,246820587,way,33.8157578,35.8984052,"[2538124329, 8521678845, 2538124333, 8521678846, 2538124336, 8521717632, 8521717634, 8521717633, 2538124339, 2538124342, 2538124345, 2538124348, 8521678841, 2538124351, 8521678847, 9695679255, 9695679256, 2538124352, 8521709052, 8521678848, 8521678849, 8521678850, 2538124355, 8521678843, 2538124356, 8521678844, 8521678842, 2538124329]","POLYGON ((35.8977485 33.815883, 35.8979344 33.8158022, 35.8980076 33.8159237, 35.8981168 33.815942, 35.8981625 33.8159913, 35.8982053 33.8159738, 35.8983234 33.8158011, 35.8983958 33.8156786, 35.8984553 33.8155467, 35.8980686 33.815055, 35.897833 33.8148593, 35.8978632 33.8148091, 35.8984843 33.8150557, 35.8990619 33.8153254, 35.8987364 33.8160062, 35.8984749 33.8165142, 35.8985353 33.8166112, 35.8985195 33.8166858, 35.8984877 33.8167064, 35.8984441 33.8167047, 35.8982375 33.8166279, 35.898153 33.8165332, 35.8980525 33.8164126, 35.8979237 33.816366, 35.897872 33.8162359, 35.8978151 33.8160552, 35.8977681 33.8159761, 35.8977485 33.815883))",0.015658616727191158,OSM
7,,301113961,way,33.7212932,35.932017,"[3052252407, 3052252431, 3052252409, 9588667813, 3052252427, 9588667812, 9588667811, 3052253236, 9588667810, 3052252404, 3052252402, 9588667814, 3052252421, 3052252423, 3052252422, 3052252407]","POLYGON ((35.9315154 33.7207437, 35.9309576 33.7213148, 35.9310058 33.7215424, 35.931741 33.7221623, 35.9322524 33.7227855, 35.9325081 33.7229537, 35.9327817 33.7227201, 35.9323147 33.7222786, 35.9327012 33.7219392, 35.9322056 33.7216785, 35.9328512 33.7212613, 35.9328192 33.720971, 35.9330765 33.7207124, 35.9323254 33.7196327, 35.931258 33.7199762, 35.9315154 33.7207437))",0.0548974357777139,OSM
8,,794530678,way,33.7359886,35.8612653,"[7431372986, 7431372469, 7431372468, 9693002741, 8476830178, 8476830179, 8476830190, 7431372987, 8476830172, 8476830175, 8479112210, 7431372986]","POLYGON ((35.8594583 33.7370973, 35.8599003 33.737378, 35.8630535 33.7349642, 35.8630724 33.7348586, 35.8629872 33.7347744, 35.8628222 33.734623, 35.8627393 33.7345991, 35.8626597 33.734612, 35.8624877 33.7347472, 35.862388 33.7347922, 35.8617555 33.7352734, 35.8594583 33.7370973))",0.031939776293637145,OSM
9,,799071131,way,33.7810245,35.820795,"[7473271264, 7473271263, 7473271268, 7473271267, 7473271266, 7473271265, 9580448971, 6516120828, 7473271264]","POLYGON ((35.8192993 33.781032, 35.8199062 33.7820545, 35.8222907 33.7804092, 35.8219877 33.7799945, 35.8204642 33.7810714, 35.8204079 33.7807703, 35.8206493 33.7803646, 35.8206705 33.7801215, 35.8192993 33.781032))",0.034295392020196144,OSM
